gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance
YBX1,19828.804535037176,1.1607155962884588,0.06834660481666245,16.982783554531213,1.101362660891193e-64,8.889267476462187e-63,Upregulated
AMER1,701.7880469909869,1.2727048382165573,0.07519723333429329,16.92488914530513,2.9490173323177845e-64,2.3463555912299036e-62,Upregulated
LYPD1,40.53680095452771,2.074217049604502,0.12282876117109648,16.88706317500984,5.602309942238647e-64,4.354239782884371e-62,Upregulated
CDCA2,616.3048613685977,1.8871532756325795,0.11191465451044881,16.86243221575944,8.501730945334512e-64,6.54711280322366e-62,Upregulated
LOXL4,604.1400486567617,2.7098245264793075,0.16073957411432002,16.858477704762652,9.09002410199739e-64,6.968188339010601e-62,Upregulated
PRKX,1972.85847573329,1.6583312167672597,0.09856289714912288,16.825106249243582,1.5977482828296056e-63,1.2137103245313764e-61,Upregulated
BAG2,580.2935231146071,1.5136132021663298,0.09010749849064609,16.79786063890627,2.530062045115941e-63,1.913273946549839e-61,Upregulated
NCAN,94.0693894488438,5.1176694486004735,0.30531191180489925,16.76210213465491,4.619964446723892e-63,3.447109472515586e-61,Upregulated
RSU1,5649.290949116499,1.0664898264122993,0.06371093142288137,16.739510827953087,6.754094003588529e-63,4.9514292634167784e-61,Upregulated
IL1R2,82.86356850643676,2.5180317533488097,0.15046363023447193,16.735152205386022,7.267113262116478e-63,5.2813981577667286e-61,Upregulated
BPI,70.7243053095385,3.907852923948974,0.23408047598501888,16.694484695934555,1.4375495905411381e-62,1.0357760740774517e-60,Upregulated
BCL2L14,144.8377554599444,2.627939043196921,0.1576947891279414,16.66471706344598,2.366055655299371e-62,1.6831077263205866e-60,Upregulated
L3MBTL4,281.5723209750455,2.2062948128197037,0.13248069393493184,16.65370815390905,2.844195367753855e-62,2.006233270329904e-60,Upregulated
RGMA,1105.0602935627287,2.300167508630543,0.13831244293161293,16.630228342997565,4.2098682063848576e-62,2.944802810366208e-60,Upregulated
COL26A1,66.9656181108285,2.996824876708566,0.18044116681387523,16.608321313948196,6.066725918766753e-62,4.226066171130964e-60,Upregulated
CCDC82,769.2139630650282,1.3005445993708766,0.07836669885133075,16.59562822517427,7.495542533681021e-62,5.173584677050586e-60,Upregulated
CLDN6,76.1501611214002,4.257068084576705,0.2565180387807617,16.595589553119474,7.500371967269164e-62,5.173584677050586e-60,Upregulated
CHST2,588.2177902710916,1.8415727706895224,0.11104699687838963,16.58372421098677,9.138577049330478e-62,6.261976796088167e-60,Upregulated
BCL2A1,359.86693762604114,2.5158886979897166,0.15220966471876168,16.529099532794667,2.265020776183291e-61,1.533272935103431e-59,Upregulated
FANCE,471.0603377742905,1.2627157747810969,0.07642275514375937,16.522772208431814,2.5156444337005164e-61,1.6960899097576014e-59,Upregulated
